text,Score
answer this question with a word without saying yes yeah yep or yup do you want to win n million when we hit,neutral
there are many things to be won nigeria s biggest sporting event this year is just a few days away the race will flag,neutral
in other news welcome to gtbank somewhere in lekki earlier today oceaneconomy,neutral
attend to the above tweet,neutral
best bank in the world,positive 
follow us now for useful banking tips,neutral
wow really,positive 
imagine all these fine buildings without any disability access,negative
please respond to my dm you asked i replied o pendingreversal,negative
when the app hardly works you ve failed i enjoyed diamond bank until you took over can t wait,negative
the headquarter of is engulfed in fire at victoriaisland lagos visit postnige,neutral
one bag to rule them all,neutral
please i can t waste my imagination,negative
please i want to report a case to you the atm of swallowed my card bank staff say i must go to my bank t,negative
most definitely they charge for almost anything i literally withdrew all my money to avoid unnecessar,negative
let me see if can borrow me small change,neutral
and bytheway i don t understand the ussd service anymore i am not able to check my balance on it,negative
ft futa s goalkeeper with the man,neutral
i have access to the mail and you are not replying your dm,neutral
please what is nft revenue got a credit alert from you with that description i am not expecti,neutral
you ve been frustrating me since last night from debiting n from my mom s account to,negative
press pause on the bbnaija remote nm enterpreneur grant is up for grabs enterpreneur will walk away this wedne,neutral
can you guess what it is wednesdayteaser humpday wackywednesday,neutral
no one is born hating another person because of skin color or race or background or religion people learn to hate,neutral
i got this from and i replied thank you o,positive 
i complained to about both of failed deposit to my betnaija account and another,negative
i m a student brother na to chop dey do me any amount will do god bless you richly gtbank,positive 
please reverse my money o,negative
this your quick credit should be available for savings a c holders with good cash flow also or,neutral
who remembers what this radio is called we cannot forget days when getting this radio felt like an achievement tb,neutral
buy airtime with and get bonus airtime it s that easy offer valid for minutes from am and pm,neutral
return my money return my money return my mo,negative
no body wants to scam her thats where am working that la,neutral
jeffrey epstein s private wealth banker who brokered and signed off on untold multiple millions of dollars in controv,neutral
congrats sire,neutral
it s ubaat giveaway amp we re giving out ubaprepaidcards pre loaded with cash gift bags airtime amp data to win pick a,neutral
for nigeria like for cameroon leggo afcon africasglobalbank iwobi bahoken,neutral
same here it s lamentable how gtb treat their customers i forwarded a complaint on dispense error on four differe,negative
dear kindly address this issue cc,neutral
till now no response and you keep telling me to bear with you very poor response if you would a,negative
do you have idle money just lying in your savings account open a sterling fixed deposit account and start earning int,neutral
the beneficiary has contacted wema bank with the digit session id and has been referred back to me fbn,neutral
still shopping at then you are shopping wrong are you still banking with don t you know you ar,neutral
thanks,positive 
will check,neutral
communities play a strong advocacy role in ensuring that aids is defeated let s continue to raise the bar to defeat aids,neutral
thanks for not emulating,positive 
nipost piloting the digital revolution in nipost,neutral
i tried to recharge my line using on the my account was debited for but i didn,negative
can someone please attend to me,negative
giveaway alert airtime for random people follow this link and vote abdulwaris ahmed now kindly drop a pro,neutral
can you people please reverse my naira failed airtime transaction its been nearly a month,negative
do everything with leo do everything with united bank for africa,positive 
my friend has since replied your nail and sent his account number and name in a mail but you are yet to re,negative
please reply me,neutral
the weekend is here and you definitely do not want to miss out on this a minimum recharge of n between pm pm dai,neutral
reply asap lemme send u guys my account number please,neutral
i ve been refunded in thanks to everyone thanks to everyone who called retweeted posted advised me or supported i,positive 
well is a product of that gives you intere,neutral
could you kindly call your ajah branch we ve been on queue for the past hour and a teller herr,negative
please kindly check your dm,neutral
remember this has nothing to do with brexit also nothing to do with brexit sony dyson flybmi jaguar land rover,neutral
okay send me the details,neutral
you people have been doing this thing to me for a while now i just choose to overlook it i ll be debited for t,negative
what s wrong with uba mobile banking platform i can t perform any transactions and u deducted my money in the process,negative
please what kind of trouble is this i made a transfer since midnight yesterday and the person i tr,negative
good day i tried using my mastercard to fund my forex broker i got debited but the money didn t fund o,negative
w gdp amp announced an addt m to our initial m x americas commitment the trump admin wgdp amp private se,neutral
hi biggie biggie kindly send your account number to our help handle accessbank help so we can further ass,neutral
highest paying nigerian companies schlumberger cbn greenville tgi vetiva citi bank inview nigeria nestle african health,neutral
i can t transfer via the app kindly assist please,neutral
desserts too must be crack,neutral
please see your dm do you people want to kill me,negative
firstbank from till date my money has not yet return firstbank what is happening you pple ask,negative
can you answer this without using a calculator share your answer in the comment section youfirst,neutral
congratulations ivanka trump well done,neutral
pls i transferred money to someone was deducted but the person did not get it kindly help,negative
retrofit that citibank building by lewisham precinct slap a cpo on it no ones been using it for years and years you,neutral
your ubaprepaidcards keep your spending in check best part is it s not linked to any account simply call it your,neutral
drumroll please congratulations to the lucky winners of our tradday spot and win competition please dm,neutral
i ve has so many issues resolved on my account without having to step in the bank thanks to this bank for now lol,positive 
wemabank still hasn t returned my money,negative
my cash is needed where is my money i need this cash and seriously i need it,negative
steps make a video of u replicating dx video follow amp tag amp,neutral
with md mr and doyint,neutral
but the first complaint is yet to be resolved till date,negative
i jst dnt knw y ur customer servix is extremely poor i m currently fcmbabakroaduyoakwaibom the populatio,negative
why is your bank delaying credit transaction since yesterday,negative
you ve not replied my dm since morning i don t think you can fix his,negative
hello please i need to confirm the status of the transfer made with this reference number,neutral
i ve not gotten my money o release my money,negative
first bank open your dm i have a complain,negative
can you pls respond to my request i asked for a request since last days and nothing has been done about it,negative
i fall victim paid to him,negative
i warm up to only money,neutral
hi thank you for contacting us kindly send a direct message to us with details of your en,neutral
want to get into music watch now for advice from me and other women in the industry for making this vid h,neutral
hi we are sorry about the experience kindly send a dm providing your account number,neutral
nice one lots need to be educated on this,positive 
you haven t snet anything you people are so unprofessional and unpleasant gosh,negative
so i tried to recharge from my mobile app and it clearly gave me an error message th,negative
still shopping at then you are shopping wrong are you still banking with don t you know you ar,neutral
twin doves concepts presents kody and the kids children s day edition date may th ace,neutral
tania is available in all sizes visit the website to purchase cegar gym wear detox bottles and,neutral
don t miss out on the action as david tlade heats up the runway with their designs at the style by,neutral
justiceforadetutu this is late miss nofisat adetutu ibrahim a staff of she was gruesomely murdered last we,negative
are you going to reply me or do i ve to cuss at you first,negative
institutional banking over years firstbank has built a formidable deposit gathering machine bringing excellen,positive 
i need your help please,neutral
make an enquiry for agent fastmoni work,neutral
gtbank is moving mad,positive 
epstein strikes again another one kills themself one of his bankers,negative
please kindly reconnect and restore viewing for sc paid for access bouquet yesterda,neutral
we are hiring we re looking for individuals who re problem solvers customer centric amp efficient to join our team,neutral
yes you can open an account from your phone bvn has the info they would n,neutral
remember flybe s collapse has nothing to do with brexit also nothing to do with brexit thomas cook sony flybmi,neutral
thank you so much dear but unfortunately we are sorry to disap,neutral
don t be there n watch good opportunities pass you by nau hurry and reactivate your first bank verve card and stand a,neutral
close your eyes and imagine africasfinest models decked in breathtaking designs sketched by you with the crowd cheering you o,neutral
hello please check your dm for an urgent issue,neutral
we have just concluded an extensive systems upgrade of our customer base of over million a feat by even global stan,neutral
i am calling your attention to a zenith bank account with account number and name ayodeji olaoluwa t,neutral
the game zone is fully packed and the competition is fierce cash prizes of up n to be won ubamarketplace,neutral
jeffrey epstein s private wealth banker who brokered and signed off on untold multiple millions of dollars in controv,neutral
dear please tell to return my money it been weeks now and anytime i complain i kee,negative
dear this will be the second time you people will remove money from my account without any transact,negative
bia so after the dm i sent you have kept quiet i don t blame you shaa let me reach any branch today god knows i will g,negative
no and neither has trump you dumb fuck he couldn t make his payments he tried,neutral
let s throw it back shall we throwback to the sara by wema seminar running a profitable business where women came to,neutral
don t sleep on this one oooo people will win k eachfrom campus tech fest how using campustechfe,neutral
i made some payment and my account is debited and yet it didn t reflect in the marchant account why,negative
me way think say ppl for done forget d challenge and move on naso i dey c tweets dey go up and down but m,neutral
i thought i was getting this obama when i voted for hope amp change instead i got citibank amp reaganism,neutral
you can rest assured see grammar,neutral
managing director ecobank nigeria patrick akinwuntan and other staff of ecobank nigeria recently paid a courtesy,neutral
very very frustrating,negative
please anybody can help too oh gtbank,neutral
cardmembers we have a treat for you this summer use your citi card for access to all in reserved tix for select shows,neutral
what a place to be,neutral
thanks i transfered n from accoubt to an on the rd of this month it was,positive 
tope alabi will collect extra sheet,neutral
what band could the see themselves collaborating with next on a song they dished on this and so,neutral
lool they re using our money to shine,negative
gtbank sending an e mail saying we are all about the magic if my money miss,neutral
please help me to do something about it asp because i need to use the money urgently thanks,neutral
i also want to close that account first thing on thursday morning if i don t get back my mo,negative
please i want to see the result of all hands being on deck i want my money today,negative
africanlady gtbank hope u see me here sir,neutral
sure mr met and social media team can handle that,neutral
dear the person with name jones uwakwe acc is involved in fraud activity i will appreciate it if its,negative
i have legacy diamond bank accounts corporate savings current and joint i am glad the,neutral
exactly used the whole month reply my dm abeg,negative
please do bank with more progressive banks,negative
you lied,negative
good afternoon please see ur dm,neutral
w gdp amp announced an addt m to our initial m x americas commitment the trump admin wgdp amp private se,neutral
guys i need your help my project water of katampe just got a lifeline we need k retweets for the great people at,neutral
access bank is like you people doesn t want to be banking with you transferred money from my acce,negative
thank you,positive 
haven t you heard of snap and win challenge simple task just spot a first bank staff wearing the,neutral
do you know that is giving out cash to people attending the campus tech fest event simply visit,neutral
thanks much sir am honoured,positive 
kindly check your dm,neutral
world premiere new hit single designer artist joquarter produced by jo q mixed amp mastered by g,neutral
gtbank silence,neutral
super annoying,negative
set your alarm clocks buy airtime with using from at pm tonight and get bonus airti,neutral
sure,positive 
liverpool tottenham,neutral
i ve been refunded in thanks to everyone thanks to everyone who called retweeted posted advised me or supported i,positive 
done thanks ,positive 
pictures form gtbank fashion wknd coming soon,neutral
gtbank need to do better sterling bank would have called if my transfer went twice or not even successfully after,negative
you re a beast just as your display name says,negative
seankessie still on my mobile app drop your account number only gtbank users i ll randomly credit persons with k each,neutral
day card delinquency among top issuers on upward trajectory rising bps from q and expected to seasonal,neutral
the countdown is on just one more day until jonasbrotherstoday,neutral
wow so wants to usher you into the detty december with the lifestyle fair fashion music games etc wi,neutral
mauritiuzz oh sorry but i didn t get any messages at my dm,neutral
i see some people are having issues with their account opening please call busola tell her ne,neutral
for your information i contacted the service provider to confirmed the value on th and they sa,neutral
it s national read a book day over the years nigerian authors such as chinua achebe chimamanda adiche and several,neutral
this man hole is right in front of these two banks and at alagomeji area of yaba i approached the secur,neutral
dear this is one of the reasons we founded ma we understand the future of jobs and we train niger,neutral
i was privileged to speak about acing job interviews at s annual edu event last week i am thankful to,positive 
sir uba team in new york sir please see how new york is crowded yet light just now,neutral
pls advise i did a transfer from another bank to my gtb acct the acct was debited but is yet to reflect in my gtb acct,negative
as we conclude the holy month of ramadan may you grow in faith and spirit eidmubarak,neutral
in need of quick cash for next weekend not a problem at all got you covered you can access up to n loan,neutral
could not be more thrilled to have the illustrious drop a verse at the citi viewing deck today at,neutral
aud usd likely to remain in the range citibank via fxstreet forex fx,neutral
cheers to the weekend take sometime to relax today and drink lots of water ubamarketplace ubaat africasglobalbank h,neutral
am on my way myafconexperience,neutral
are you going to gov ball in new york next weekend governor s ball,neutral
this one gtbank is sending me msg anyhow is like big money is coming o,neutral
good afternoon i made a transfer of n to a gt bank account now the response i got was the beneficiary bank is not av,negative
it s day of the ubamarketplace entrepreneurial fair and there s still so much to buy eat see and do the fair e,neutral
ubamarketplace colours on ice,neutral
never mind it has been resolved thanks,positive 
has just signed an endorsement deal to become a brand ambassador for ubamarketplace eventkettl,neutral
do you have spare funds we have investment options talk to our investment gurus on or send an email to asset,neutral
i was considering opening an account before,negative
this is the transaction details i made the transferred to zenith bank time am,neutral
to be fair hoarse is a bro through and through in real life he s a straight white consultant to places like exxon citiban,neutral
valkiing where are my fashionistas is giving you an opportunity to tell your story on a grand stage you don t wanna sle,neutral
would you tell me how to close my citibank careers account after login i see no account removal option no contact us either,neutral
hear this and thank me later,neutral
institutional banking over years firstbank has built a formidable deposit gathering machine bringing excellen,neutral
we will have a surprise guest at the marketplace can you guess who it will be amp comment your answer with ubamarke,neutral
like i said thank you okay bye,neutral
transfered cash to someone twice on friday but only one dropped but you deducted twice pls send back my cash,neutral
auditions are on in lagos do you think you have what it takes to be the star of the show meet us tomorrow at ltv,neutral
i know someone currently on s net over something related to this guy s be careful out there good awarene,neutral
waaaaiiiitttt what ladies and gentlemen shall we,neutral
gtbank blessed,positive 
i have k followers if only k people donate naira each babatunde will be free of heart disease savebabatunde,neutral
has been doing well but recently it s been crazy can t do transfers can t get alerts money ke,negative
movies i don t even feature on the post,neutral
hello thank you for talking to us we are sorry to hear about this for such debit errors kindly,neutral
to be a branch manager in first bank younggraduate,neutral
mazi the great have a lovely week ahead,positive 
fastest finger magic,positive 
how can one not be able to withdraw at will from first atm this is am and i can t withdraw money,negative
i used atm for withdrawal which failed to dispensed i lodged complain with my bank,negative
i have a friend who has had cancer numerous times and it s back i d love to invite him an,neutral
you are not following me how on earth will i send you a direct message,neutral
i took these awesome pictures of at the falz ui comeback concert yesterday organized by,neutral
hello wema bank can you come and educate peop,neutral
gtbank is also porous your money can be stolen from your account easily talking out of experience,negative
how long does it take electronic transfer to another bank to be transferred it s been more than hrs i,negative
omo this na memories,neutral
damn do something o,negative
bless you all,positive 
fidelityyea beneficiaries providing solutions to common issues in bayerouniveritykano,neutral
i sent a particular sum of amount to someone but ihave been debited but the person hasn t be credited please help,negative
arrest detain agents for violating lease agreement sahara reporters the arrests were made afte,negative
empowering young women of sport,neutral
reply your dm abeg,neutral
access bank on the i try recharging my phone with naira airti,neutral
dr adetunji oredipe senior agric economist world bank we must use the power of our population to our advantage by,neutral
please guys i need your help i need retweets to win this nk giveaway from mazi ibe i need maximum number,neutral
thank you,positive 
we re so sorry to hear about the trouble with your card and that you had issues contacting our,neutral
okurrrrr my lagos mercenaries lets go there stylebyzenith mercyxsimsblackfriday mercyxsimsblackfriday,neutral
c what is fork and knife doing bye bye,neutral
please do something about him i ve to go to the bank and block my account number because he has already,neutral
dear sirs do something,neutral
remember flybe s collapse has nothing to do with brexit also nothing to do with brexit thomas cook sony flybmi,neutral
be careful what you share on social media as you may unknowingly reveal personal information that fraudsters could use t,neutral
this is the second time i am requesting for the refund of the cash that was debited,negative
so i celebrated my birthday yesterday and uba bank can t send me a message,negative
i tried to withdraw some money frm my account on th of june at pm the first transaction wa,neutral
oya it is time to show your knowledge in tech for a chance to win some goodies make sure you follow,neutral
would please respond to me as fast as possible am getting fed up of u guys,negative
let me tell you about moscowmitch and why he s bad for america,neutral
i think i ve been sending this issue for two weeks now and you re still on dm account details which have,negative
good afternoon i filled a form that would enable me send money from my domiciliary account when not in n,neutral
this shii is painful af imagine queuing for mins to withdraw your last k only to find out that gtbank has removed sm,negative
all the merchant locations as rewards users with free gifts and massive discounts,neutral
hello sent you a dm would appreciate a swift resolution oe,neutral
calling customer care line is the most useless activity you can do with your life,negative
furthermore she went to complain at the bank and the bank said the money has been refunded to th,negative
i called the customer care again and i ve received a complete refund of the money debited thanks,positive 
apple iphone plus is still available brand new gb n gb n uk used gb n gb n,neutral
my friend tola lost all her stored goods and shop in the balogun fire please your little token will help her bounce,neutral
apple iphone plus is still available brand new gb n gb n uk used gb n gb n,neutral
lol i only meant the idea would be mad,positive 
this is sophia signing out thank you for staying tuned stylebyzenith fridayfeeling,neutral
okay i need yall retweets and like to win k from i will give k to people at the end all you need,neutral
favorite person on earth d citibank emquartier citimercedesbenz privil,neutral
yes it has been sent but still no solution yet as an error kept occurring,negative
you guys should come through for a family friend she has a restaurant at first floor diya street gbagada opposite,neutral
brian krebs hi brian what s up at citibank their site has been messed up for more than a week cannot log in larry mcdonald,negative
bros don t talk from a political angle fact is pmb has,neutral
bola attah and her brainchild are through creative branding visual imagery and focused messaging project,neutral
you point is valid,positive 
how am i supposed to contact you when am not able to send you dm,neutral
a mustard seed is planted after the nd world war the need for banks to serve as vehicles for commercial growth became ver,neutral
check this out,neutral
why does enjoy frustrating customers i have lodged complaints concerning my mone,negative
i m at in rego park ny,neutral
apologies for this im sure ecobank will refund your money as soon as possible,positive 
portraits of the md ceo of mrs oluwatomi somefun on the conferment of her honorary degree at the redeemers,neutral
the amount may not be in millions but realize it was basically all i had and i ve accumulated for years while in school and,neutral
help ike create more timeless experiences in the bbnaija pepper dem house voting closes at wat so hurry and vote now,neutral
i don tire for them na every transaction i dey always get issue coupled with the useless naira u,negative
to all our fintech fellas the above question is something easy for you to crack tag friends to see this winners,neutral
reminder rainy days are here and you should be prepared for it not to spoil your shine any day an umbrella is a mus,neutral
both of you should try,neutral
we are partying like never before at the ubamarketplace with,neutral
zenith gtbank access uba generate n bn from account maintenance charges,neutral
w gdp amp announced an addt m to our initial m x americas commitment the trump admin wgdp amp private se,neutral
good morning please i cant access my account online anymore the webpage at,negative
i have made this complaint weeks ago why is it taking forever for me to have my money,negative
myself gmd and ceo mr vincent at the ubamarketplace money men had to take a pose with,neutral
it s the big reveal winners list coming in what you choose is what you win winners have been randoml,neutral
a student of kwara state uni is suffering from a heart disease and m naira is required for the surgery to save him,neutral
the alpha when you re waiting for alert nd gtbank sends happy new month message,neutral
hey stop cheating indians charging membership fee for previous year is fraud amp daylight robbery hey,negative
bts no citibank bts no allianz em em,neutral
said rts in hours twitter said you dunno warris going on completed the k in less than minutes an,neutral
and i will receive a debit alert and i always encourage people that is the best among all nigerian,positive 
cool,positive 
can u guys plz do is a favour by lending us money it s loan i need n nt much i bliv wit my service w,neutral
i m reporting this to what s all these rubbish is it a crime to bank with you thats the rub,neutral
saying you guys are in maintenance mode,neutral
only has been constantly replying and updating me then i go to my bank and this is the reply kindly,neutral
i ve been sending dm s to for hrs now and there hasn t been any response who am i supposed to tag to get noticed,negative
urgent attention please my sister s account has been freezed for more than a month all necessary has,neutral
what we think determines what happens to us so if we want to change our lives we need to stretch our minds,neutral
we sincerely apologize for this experience can you please have y,neutral
while addressing cnbc at the joint seminar for financial and telecom regulators just held in lagos the ceo of,neutral
nice oauvsunilorin,positive 
i m a buhari fan but i must acknowledge what you just said based on the available evidence,neutral
c your dm,neutral
an account has opened for me issue resolved bank like i stan,neutral
grave,negative
mrs sodiya is a yrs old woman who diagnosed with end stage kidney disease we seek help from dear nigerians to please help,neutral
remember this has nothing to do with brexit also nothing to do with brexit sony dyson flybmi jaguar land rover,neutral
zenith alhajiisagiver gtbank alhajiisagiver access alhajiisagiver alhajiisagiver access bank,neutral
such a great year thank you to the almighty god to norelem academy amp partners my awesome friends and team,neutral
kindly check dm i need an urgent response to the case i reported as regards that scammed a,negative
write an email to central bank of niger,neutral
citibank hall brazil with k capacity it s like we re in seoul sao paolo province they sang louder than i,neutral
if you d like to support our work at kindly donate to these accounts sterling bank s,neutral
appropriation of venezuelan monetary resources by trump bank of england million citibank million cl,neutral
i just called for deducting my money and i was told that for every seconds i use the ussd i get charged,neutral
im tired of telling you what the issue is my money still hanging with you guys more than weeks,negative
good morning am stil waiting for ur reply,negative
vkon energy sale million dollars usd of,neutral
justiceforadetutu this is late miss nofisat adetutu ibrahim a staff of she was gruesomely murdered last we,negative
still think it s brexit s fault you moron,neutral
my first checkout account has been suspended please how do i reset it,neutral
just when you think things can t get any weirder analysts at and say corbyn is the lesser of two evils,neutral
emerging markets asia is preferred citibank,neutral
tbh you guys are the worst bank in the world,negative
hello thank you for talking to us kindly follow us on and send us a direct message wi,neutral
hi isaac thank you for reaching out to us please send us a dm providing your account number to ou,neutral
happy new year closing my account the next time i visit the bank i can t keep transacting in fear,negative
i have replied thanks,neutral
i dnt have a dad to wish this day,neutral
scenes from uniuyovsiaue match today in uyo hifl,neutral
good morning someone sent me momey yesterday night and never get the money into my account till now pls help me,negative
a little riddle for the day think you know the answer let us know in the comment section do not forget the shortest c,neutral
ohemgeefaajifriday episode watch video on powered,neutral
can you imagine gave been pursuing loan for more than a year now yet no loan all they could is keep giving lian the,negative
it s not an error message it doesn t show according to the time they occurred,neutral
when i saw accessbank trending i thought they were doing giveaway they have finally dragged my bank,neutral
hello we re not glad to see this please send us a dm on accessbank h,neutral
i kept hoping elizabeth wouldn t pull another i citibank now betrayal like she did in th,negative
chizoba okoli ed business banking division access bank plc speaking at the creative sector loan forjm earlier today,neutral
set free live your dreams fidelityxcubanaikeja launchofcubanaikeja cinematicsng fi,neutral
account name is stephen edet please look into this kindly revert the debit that was made on my account,negative
i pick number,neutral
ahmadu bello university zaria was big shout out to everyone who came out to party with us at the traceintheci,neutral
join us at the zbaspiremusicfest on the st of september at the harbor point event center wilmot point rd vic,neutral
days to the commencement of the lagos amateur open golf championship who s swinging for that money from t,neutral
hey everyone this is fatima umar sani my secondary school friend she has been diagnosed with cancer and needs your hel,neutral
last year i filled a form to opt out of sms alert for my account eversince i never received sms alert this year alo,positive 
happy birthday god bless you beyond imaginations,neutral
better than causing chaos everywhere in the name of revenge,neutral
help me ask why they re placing a ban on my account that i couldn t do any transaction since days now while,negative
i can confirm that the atms in unilag are always up and running this clout chasing act y all are quick to sponsor should be,positive 
bbn or epl let us know in the comments tgif fridayfeeling,neutral
pls let us found out who placed liens on my account just for better resolution i was told my is hanging in my bank,neutral
piece of advice to everyone any account that has the bulk of your savings shouldn t have a debit card under any circumstance,neutral
dear sanyaalabi elizabeth kemisola we sincerely regret the delay in resolving yourcomplaint,neutral
serial entrepreneurs at fidelitysmefunding share secrets on funding your business,neutral
so we are here at javier baez baseball procamp and i can t explain how happy i am watching my son being so excited,neutral
i am yet to get my airtime how many working days,negative
i can t dm access bank help directly don t know why so i sent it to accessbank,neutral
the idea of having a church filled with young people who are either in school just finished or are working their first jobs,neutral
i m paying tax and it s not my duty to clean up waste,neutral
i was debited twice for the same transaction,negative
lambaxtra gtbank plc please,neutral
guys i need your help my project water of katampe just got a lifeline we need k retweets for the great people at,neutral
fam something has been bothering me since morning nd i need you guys advice on it please help a brother i have like,neutral
pls how can my apply for the lagos state empowerment program thanks,neutral
please i have a complaint i subscribed my gotv last week thursday i was debited but my subscription,negative
lagos is dirty but what have you done to clean up your area today had an initiative where they cleaned u,neutral
dear you are very unreliable bad service please fix it,negative
hello this is a desperate attempt and an appeal to look into my situation i took a loan from your bank and even,negative
the first attempt,neutral
cashless services is the worst bank you can ever rely on,negative
hey everyone this is fatima umar sani my secondary school friend she has been diagnosed with cancer and needs your hel,neutral
the same dm that i have been doing that no one replies,negative
your attention is needed because wants to be funny with ou,neutral
that s very nice of them,positive 
hello my friends let s this for vaccine network for disease control pls nominate this ngo for they deserv,neutral
congrats,positive 
we have replied to your dm please check sa,neutral
answer your dm,neutral
we are sorry to hear your request is yet to be resolved please send your account number and the,neutral
claims lied now i am angry help me get my money from bo,negative
happy birthday to me thank you lord for adding a year to my year who s surprising me today oladele toyosi gt,neutral
if you have been saving up to get your dream phone camera or any other device and you need access to some quick fu,neutral
no worry we go use federal might on them,neutral
should be notified of a person using this account details happiness chioma isikaku th,neutral
its k thrice,neutral
please denote and save life of abakar no amount is high and no amount is less gtbank,neutral
please may be you need to tell the what alagemo look like bank can make you go xtra miles to g,neutral
too big to fail syndrome has been smashed to smithereens post the us mortgage crisis of that made lehman brothers c,neutral
gtbank thanks in advance lol,negative
gtbank named best bank in africa gambia news gambianews,positive 
nigeria germany,neutral
in staff gratuities scandal,negative
with this has shown clearly that they re no match for any service company in this country when it,negative
